stop_id,stop_name,stop_lat,stop_lon
266685,str. Nicolae Milescu Spataru,47.0434646,28.8980674
268896,str. Arborilor,47.00360092553422,28.83797407150269
266684,str. Nicolae Milescu Spataru,47.0434316,28.8977905
266722,str. Socoleni,47.0617195,28.8545947
266357,Spitalul Clinic De Psihiatrie,46.9580412,28.8322195
266551,str. Calea Orheiului,47.046181,28.8488458
266161,Cotitura spre Cricova,47.1181265,28.8679086
266541,str. București,47.0135771,28.8381889
266343,Policlinica Oncologică,46.9895907,28.826291
266467,Spitalul pentru copii nr.3,46.9857591,28.8320468
266571,str. Costiujeni,46.9817325,28.8370757
266516,str. Tighina,47.0155197,28.8409445
266116,"I. Inculeț, 85",47.0062253,28.8381068
266122,Institutul Viticultura,46.9758155,28.8358484
266125,str. Costiujeni 56,46.9645097,28.8344174
266750,str. Vasile Badiu,47.0516229,28.850732
266889,str. Nucarilor,47.1299739,28.8652184
266127,str. Chisinaului,47.1340747,28.8665801
266881,Vasile Alexandri,47.1362233,28.8672086
266361,str. 31 august,47.139434,28.8657907
266195,Miorița,47.1379974,28.8593916
266362,str. 31 august 1989,47.1394678,28.8654924
266880,Vasile Alexandri,47.1364654,28.8670754
266358,Spitalul Clinic De Psihiatrie,46.9576767,28.8316278
268897,Dispenserul Dermato- Vemerologic,46.95327226291375,28.832116127014164
266124,Str. Costiujeni 56,46.964606,28.8346163
266123,Institutul de Pomicultuva,46.9757688,28.8360078
266569,str. Grenoble,46.9827898,28.8369193
266466,Spitalul pentru copii nr.3,46.9861614,28.8318
266464,Institutul oncologic,46.9908359,28.8272551
266593,str. Gheorghe Cașu,47.0015703,28.8379869
268899,str. Arborilor,47.004028942312964,28.83799016475678
266117,"I. Inculeț, 85",47.0061298,28.8382357
268900,Pan Halipa,47.010649961587454,28.838371038436893
265815,bd. Cuza Vodă 15,46.9815371,28.8600081
266616,str. Independenţei,46.9787855,28.8557751
266631,str. Ion Dumeniuc,47.0558309,28.8974471
265990,"Cuza Vodă, 24",46.9799438,28.8571927
266617,str. Independenţei,46.9778163,28.8539949
266757,str. Zelinski,46.9927094,28.8595954
267485,str. Nicolae Sulac,47.06127908795146,28.897701501846317
266657,str. Mihail Sadoveanu,47.0381312,28.8845789
265814,bd. Cuza Vodă,46.9823073,28.8608146
266525,str. Alecu Russo,47.0441294,28.8626332
266679,str. Nicolae Dimo,47.0431908,28.8673308
266698,str. Petru Zadnipru,47.0430585,28.8914307
266614,str. Igor Vieru,47.0518562,28.8979044
266630,str. Ion Dumeniuc,47.055484,28.8978402
267486,str. Nicolae Sulac,47.06099039540271,28.897492289543155
266613,str. Igor Vieru,47.0517359,28.8976547
265918,Centrul civic,47.0474521,28.8977268
266526,str. Alecu Russo,47.0372194,28.887358
266658,str. Mihail Sadoveanu,47.0384098,28.8847033
266680,str. Nicolae Dimo,47.0436294,28.8661533
267765,str. Albisoara,47.01645822417009,28.856508135795593
267767,str. Titu Maiorescu,47.02634691036358,28.852522373199466
266561,str. Columna,47.0274523,28.8335423
267763,str. Butucului,46.98687632092567,28.86817574501038
266714,str. Nicolae Zelinschi,46.9932625,28.8651937
267764,bd. Dimitre Cantemir,47.01407354796133,28.856089711189274
266097,Grădina Zoologică,46.9746272,28.8674391
266743,str. Valea Crucii 10,46.9743801,28.8603004
267766,str. Titu Maiorescu,47.02763406022371,28.852608203887943
265751,bd. Renasterii Nationale,47.0331565,28.8464412
266096,Grădina Zoologică,46.974452,28.8677456
267770,str. Butucului,46.98615540976543,28.8666844367981
266548,"Uzina ,,Giuvaer""",46.9907753,28.8676891
266633,str. Ismail,47.0212032,28.8560837
267762,bd.Cuza-Voda,46.98330094524749,28.86267721652985
266636,str. Ismail,47.0205363,28.855782
265750,Albișoara 8,47.0166981,28.8561012
266642,str. Liviu Deleanu,47.0381887,28.7698943
266686,str. Onisifor Ghibu,47.034988,28.7764833
266514,str. 31 August 1989,47.0225088,28.8295459
266692,str. Paris,47.0318639,28.7827047
266678,str. Nicolae Costin,47.0426465,28.7700395
266285,str. Ion Pelivan,47.0287199,28.7891559
265829,str. Puskin,47.0243474,28.8349551
265822,bd. Grigore Vieru,47.0287792,28.8388897
266643,str. Liviu Deleanu,47.0394678,28.7677732
266919,șos. Balcani,47.0416839,28.7633017
266312,Piața Unirii Principatelor,47.0279938,28.7910786
266584,str. Eugen Doga,47.0294757,28.8390869
266693,str. Paris,47.0326835,28.7816851
266632,str. Ion Pelivan,47.0296173,28.7879603
266687,str. Onisifor Ghibu,47.0356865,28.775585
266422,str. Valea Crucii (str. Grenoblea),46.9726996,28.8542941
272204,str. Nichita Stanescu,46.9745280022977,28.86364817619324
266421,str. Valea Crucii,46.9725233,28.8543609
266742,Statia Deservirii Tehnice,46.974062,28.859455
266640,str. Kiev,47.03882949203677,28.858096003532413
266527,str. Alecu Russo,47.04209773492255,28.868079185485843
276211,str. Vasile Lupu,47.0191975443937,28.759911060333256
266579,str. Dokuceaev,47.0028774,28.816803
266554,str. Caucaz,47.0061544,28.7664828
319700,str. N. Dimo,47.05897315827545,28.87340605258942
266627,Piata Unirii Principatelor (str. Ion Creangă),47.0261257,28.790841
266531,str. Anton Crihan,47.0128935,28.8279157
266553,Policlinica (Str. Cartușa),47.0158647,28.7480661
266540,str. București,47.0221766,28.8259731
266283,Piaţa Pan Halippa,47.0084584,28.8273085
265957,Cişmelelor,47.0215271,28.7673759
266596,str. Gheorghe Tudor,47.004913,28.8213058
266456,Spitalul Clinic Municipal nr.1,47.0053984,28.8417466
265721,bd. Decebal,46.9872003,28.85643
266648,str. Matei Basarab,47.053344955562025,28.872515559196476
266665,str. Miron Costin,47.04798299180487,28.870219588279728
266793,Telecentru,46.999051,28.8087899
265961,Clinica Veterinară Republicană,47.0247505,28.7824549
266759,str. Ștefan Neaga,47.0325536,28.8052341
266682,Str. Nicolae Dimo 27,47.0093187,28.7623952
266861,Uzina chimică,47.0266486,28.7736304
266864,Uzina Mecanică Experimentală,47.0255663,28.7792937
266555,str. Caucaz,47.0060227,28.7664989
265974,"Complexul Memorial ""Eternitate""",47.0083224,28.8328181
265744,str. Ion Inculet,47.0092827,28.8362401
266543,str. București,47.0122535,28.8406029
266209,N. Dimo,47.0091759,28.7623466
266727,str. Teilor,46.9897664,28.8529137
265746,"institutul ""N. Dimo""",47.0013201,28.7773954
265958,str. Cişmelelor,47.0216953,28.7676093
266095,Grădina Publică,47.0244375,28.8291614
266855,Universitatea Pedagogică de Stat „Ion Creangă“,47.0371529,28.8121895
266850,Universitatea de Stat,47.0183652,28.8230148
266063,Gara Auto Sud-Vest,46.9933548,28.789366
266717,str. Sfânta Vineri,46.9974728,28.7838359
266863,Uzina Experimentală,47.0256747,28.7778274
266623,str. Ion Creangă,47.0281582,28.796342
266807,Testemiţanu,47.0186563,28.7553515
266062,Gara Auto de Sud-Vest,46.9916761,28.7893361
265891,Oraselul Academiei(Campusul Academic),46.993722,28.8150109
265823,bd. Mircea cel Bătrân,47.0373205,28.8899577
281746,str. Nucarilor,47.13005659543952,28.865037560462955
281625,Str. Svinta Vineri,46.99742173714037,28.783637881278995
265965,Colegiul de Construcții,46.9931771,28.8201395
266856,Universitatea Pedagogică de Stat „Ion Creangă“,47.0371021,28.8116957
266591,str. Gh. Asachi,47.001116,28.8219818
266730,str. Teilor,46.9883064,28.8537911
265876,str. Ismail (Bd. Ștefan cel Mare și Sfânt),47.0152582,28.8448887
281747,str. Miorita 40,47.14224489382058,28.855821490287784
319704,Piața Eroilor,47.03820433552144,28.862516283988956
266114,Hristo Botev,46.99315,28.8472483
266599,str. Ginta Latină,47.0378918,28.8893437
266760,str. Ștefan Neaga,47.032428,28.8054233
265960,Clinica Veterinară Republicană,47.0249867,28.7820573
266341,Policlinica,47.0158192,28.7476767
266592,str. Gh. Tudor,47.003521,28.824314
281624,Uzina Chimica,47.02681496844931,28.773702979087833
266364,Primăria Durleşti,47.0189982,28.7657478
265745,"Institutul ""N. Dimo""",47.0016281,28.7762476
266284,Piaţa Pan Halippa,47.007384,28.8281823
266700,str. Mircea cel Batrin(Petru Zadnipru),47.0430106,28.8898419
266360,Pretura sectorului Ciocana,47.0406309,28.890406
265877,str. Aron Pumnul,47.1250609,28.8652815
266305,Piața Ovidiu,47.0106495,28.8428603
266895,str. Trandafirilor (Zelinschi),46.9924852,28.8490534
266477,or. Cricova (str. Minerilor),47.1454336,28.8549027
266457,Spitalul Clinic Municipal nr.1,47.0049971,28.8420937
266626,Piata Unirii Principatelor (str. Ion Creangă),47.0264621,28.7912111
281750,str. Stefan cel Mare (La Cerinta),47.14575854602319,28.85741472244263
268893,str. Luceafarul,47.14127796020417,28.8644152879715
281744,str. Alba Iulia,47.12183338996966,28.866620063781742
281745,str. Alba Iulia,47.121793238045115,28.86636257171631
265878,str. Aron Pumnul,47.1252947,28.8653924
266662,str. Miorița,46.996991,28.8090044
266736,str. V. Korolenko,46.9980181,28.8203898
265806,Baza de Transport Auto nr. 31,47.0477052,28.8265211
284104,sat. Colonita scoala,47.04569476410292,28.958689570426944
284061,str. Mircesti,47.063215845640144,28.804398179054264
284103,sat. Colonita scoala,47.045899465786476,28.958995342254642
266443,str. Ceucari,47.0617089,28.8448835
284065,str.Tolbuhin,47.058121656653654,28.79271984100342
284075,Interautoservis,47.059166845587185,28.755635619163517
284845,Magazinul de peste,47.093840148210425,28.82471859455109
284058,sos. Balcani 7,47.06447287335438,28.795895576477054
266852,Universitatea de Stat de Medicină și Farmacie,47.0340215,28.8192612
284101,sat. Colonita str. Budesti,47.044217964396324,28.96254658699036
265805,Baza de Transport Auto nr. 31,47.0483084,28.8259733
266562,str. Columna,47.0362593,28.8226288
284837,str. Veronica Micle,47.10551461203828,28.814429640769962
284838,Hulboaca Magazin,47.11733253557432,28.798223733901978
284842,str. Veronica Micle,47.10513122488611,28.814386725425724
267864,str. Ceucari,47.06173587676538,28.846508860588077
284843,Magazin Frunze,47.10068373213168,28.817825317382816
266572,str. Cucorilor,47.0611636,28.8420874
266666,str. Moldovița,47.0545624,28.8413066
284060,str. Mircesti,47.063610497068076,28.80426943302155
284070,str. Petricani 204,47.05417460458868,28.811098337173465
266193,Mihai Viteazul,47.0443288,28.8322389
284102,sat. Colonita str. Stefan cel Mare,47.04372447023248,28.962906002998356
284071,str Petricani 21,47.05221924373453,28.817085027694706
284074,Interautoservis,47.05956883587541,28.75507235527039
284077,cotitura spre Truseni,47.064005145574455,28.74353349208832
284834,Magazinul de peste,47.09354432779437,28.825330138206485
284844,Liceul Teoretic,47.09847445352882,28.82022321224213
267863,str. Socoleni,47.06032530029071,28.83796870708466
266115,Hulboaca Vitim,47.1078131,28.8123446
284836,Primaria Gratiesti,47.100110424012925,28.818570971488956
284840,Hulboaca Magazin,47.11717921509378,28.798127174377445
285441,Ștefan-cel-Mare,47.09034863212626,28.829090595245365
266787,Teatrul M. Eminescu,47.0222,28.8357781
266851,Universitatea de Stat de Medicină și Farmacie,47.0343895,28.8179857
266032,Fabrica de Asfalt,47.0660941,28.7790911
267862,str. Doina 150,47.064933288879665,28.833773732185367
284841,Hulboaca Vitim,47.107566599188246,28.812391161918644
266928,Ștefan-cel-Mare,47.0905752,28.8290343
285444,Magazinul 3,47.102706693620135,28.831574320793155
266649,str. Melestiu,47.0058562,28.8475308
284835,Liceul Teoretic,47.09866799730146,28.820282220840458
267860,Magazin Alimentar,47.061388717623736,28.83661150932312
285442,str. 31 august,47.098653390248835,28.83123099803925
266746,str. Valea Trandafirilor,47.007624,28.8492199
266103,Centrul de Sanatate Gratiesti,47.0929442,28.8308459
285449,Magazin Frunze,47.09585971776326,28.83091986179352
266264,Parcul „La Izvor“,47.0446114,28.7884948
266597,str. Ghidighici,47.0461749,28.7832239
266751,str. Vasile Badiu,47.0517999,28.8459872
266431,Scoala Primara Gratiesti,47.0939231,28.8307847
285443,str. Catalan,47.09888345086236,28.8314563035965
266749,str. Vasile Badiu,47.0510337,28.8500667
266082,Ghidighici-Vin (Vile-2),47.0804809,28.7693391
266586,str. Florilor,47.0436246,28.852523
265950,Piata Marii Adunari Nationale,47.0263308,28.8296621
265826,bd. Renașterii Naționale,47.0466317,28.8485801
266056,Magazin Frunze,47.095901,28.8310939
266598,str. Ghidighici,47.0452826,28.7850345
285476,Primaria Ghidicgici,47.08939536463138,28.76182079315186
285445,str. Griului,47.10280528364161,28.831858634948734
266716,str. Serghei Lazo,47.0289503,28.8257194
285471,"s.a.""Drumuri-Chisinau""",47.05790603820552,28.782640099525455
265774,"Asociaţia ""Efes-Vitanta""",46.9985099,28.896488
266732,str. Toma Ciorbă,47.0316075,28.8217696
266281,Piaţa Dimitrie Cantemir,47.0381774,28.8099481
266377,"Restaurantul ""Butoiaş""",47.0484841,28.7782375
